CellLine,InitialCondition,Day,R
983b,1250,0.5,8.87112009572942
983b,1250,0.5,7.12545534606115
983b,1250,0.5,5.96158339193533
983b,1250,0.5,14.6895011568905
983b,1250,0.5,14.8613148109059
983b,1250,0.5,11.7083163813348
983b,1250,0.5,5.74472451068957
983b,1250,0.5,14.4279459925324
983b,2500,0.5,69.2673407308222
983b,2500,0.5,75.7781384190051
983b,2500,0.5,94.3147476727241
983b,2500,0.5,39.1575982668831
983b,2500,0.5,95.1321512691643
983b,2500,0.5,75.1220284287591
983b,2500,0.5,91.6251526612018
983b,2500,0.5,53.8667432081475
983b,2500,0.5,64.1686721889052
983b,2500,0.5,71.3257700571147
983b,2500,0.5,75.071333961598
983b,2500,0.5,99.2844632349157
983b,2500,0.5,75.8116304067821
983b,2500,0.5,90.3557148181046
983b,2500,0.5,84.9693675977442
983b,2500,0.5,49.5974631379965
983b,2500,0.5,86.8019563472179
983b,2500,0.5,71.1654213126721
983b,2500,0.5,65.0526981949313
983b,2500,0.5,60.4824653968759
983b,2500,0.5,59.7009358324405
983b,2500,0.5,79.8082810486762
983b,2500,0.5,73.3783376006741
983b,5000,0.5,113.561062667674
983b,5000,0.5,79.4895471996117
983b,5000,0.5,108.800344433411
983b,5000,0.5,123.447349664101
983b,5000,0.5,130.679753863427
983b,5000,0.5,118.280405217375
983b,5000,0.5,121.457136990265
983b,5000,0.5,121.592908147526
983b,5000,0.5,135.411764761706
983b,5000,0.5,131.406209690136
983b,5000,0.5,86.6848975021935
983b,5000,0.5,141.920025357929
983b,5000,0.5,135.832916069093
983b,5000,0.5,115.983053224263
983b,5000,0.5,115.950224936154
983b,5000,0.5,124.389704030445
983b,5000,0.5,110.501999575094
983b,5000,0.5,120.143704858958
983b,5000,0.5,123.056008162885
983b,5000,0.5,96.7068838588068
983b,5000,0.5,124.990303634428
983b,5000,0.5,117.785733828597
983b,10000,0.5,209.365957799961
983b,10000,0.5,180.704383793181
983b,10000,0.5,190.291035007851
983b,10000,0.5,207.649284495439
983b,10000,0.5,142.232719931894
983b,10000,0.5,198.977596541142
983b,10000,0.5,200.464744618314
983b,10000,0.5,190.197588812457
983b,10000,0.5,217.191959763383
983b,10000,0.5,173.267269041417
983b,10000,0.5,179.329414171463
983b,10000,0.5,180.07814405102
983b,10000,0.5,170.46821847428
983b,10000,0.5,198.274634439558
983b,10000,0.5,199.786135677642
983b,10000,0.5,192.552127331369
983b,10000,0.5,187.353421076401
983b,10000,0.5,119.561224352885
983b,10000,0.5,212.823423902438
983b,10000,0.5,177.214795162445
983b,1250,0.75,13.4253851974269
983b,1250,0.75,7.8055440276678
983b,1250,0.75,9.5598008487251
983b,1250,0.75,15.6921865569369
983b,1250,0.75,9.82176125279268
983b,1250,0.75,13.8900691159082
983b,1250,0.75,20.4663066723628
983b,1250,0.75,1.59330015255308
983b,1250,0.75,7.12545534606115
983b,1250,0.75,11.8162299114699
983b,1250,0.75,12.4440719489413
983b,1250,0.75,14.1615608916735
983b,1250,0.75,12.3416493968653
983b,1250,0.75,6.17082598800847
983b,1250,0.75,17.5985753213393
983b,2500,0.75,125.618353324854
983b,2500,0.75,124.011578441558
983b,2500,0.75,125.880785852918
983b,2500,0.75,118.687494086333
983b,2500,0.75,117.947270020231
983b,2500,0.75,128.169084901473
983b,2500,0.75,129.548137944166
983b,2500,0.75,122.269567582332
983b,2500,0.75,125.991656760529
983b,2500,0.75,126.203043200238
983b,2500,0.75,126.66484625912
983b,2500,0.75,125.638559903927
983b,2500,0.75,123.570669639679
983b,2500,0.75,119.518752852394
983b,2500,0.75,131.4834715809
983b,2500,0.75,125.405981325892
983b,2500,0.75,124.021806620285
983b,2500,0.75,123.89893567441
983b,2500,0.75,122.653063712186
983b,2500,0.75,124.348881713558
983b,2500,0.75,124.888713618179
983b,2500,0.75,116.877002663013
983b,2500,0.75,122.2176458557
983b,5000,0.75,174.078517766596
983b,5000,0.75,180.148658318005
983b,5000,0.75,178.811964843922
983b,5000,0.75,182.618851944047
983b,5000,0.75,168.558802432154
983b,5000,0.75,177.629739144433
983b,5000,0.75,173.698946614295
983b,5000,0.75,178.264580289335
983b,5000,0.75,175.827002139761
983b,5000,0.75,177.65831901121
983b,5000,0.75,175.805348920271
983b,5000,0.75,176.302817493783
983b,5000,0.75,174.355376578762
983b,5000,0.75,174.049350077631
983b,5000,0.75,169.175170095166
983b,5000,0.75,178.228980725836
983b,5000,0.75,171.500094170008
983b,5000,0.75,172.319662624629
983b,5000,0.75,162.36814563666
983b,5000,0.75,169.385113791954
983b,5000,0.75,178.022323535547
983b,5000,0.75,177.128827039417
983b,10000,0.75,245.802386683688
983b,10000,0.75,246.961512303366
983b,10000,0.75,241.167983377467
983b,10000,0.75,246.555172995558
983b,10000,0.75,217.408096981855
983b,10000,0.75,242.35452945058
983b,10000,0.75,247.23892215253
983b,10000,0.75,244.767394070259
983b,10000,0.75,248.534380890246
983b,10000,0.75,249.619813893365
983b,10000,0.75,239.959652921545
983b,10000,0.75,234.545491898325
983b,10000,0.75,245.518167866104
983b,10000,0.75,243.008314818132
983b,10000,0.75,245.300975887675
983b,10000,0.75,244.232711689966
983b,10000,0.75,244.357406214033
983b,10000,0.75,231.165829818368
983b,10000,0.75,243.691566142213
983b,10000,0.75,234.918610799984
983b,1250,1.0,13.2349448755827
983b,1250,1.0,11.7083163813348
983b,1250,1.0,10.0769155884835
983b,1250,1.0,7.30141759475544
983b,1250,1.0,13.8900691159082
983b,1250,1.0,9.15281233241614
983b,1250,1.0,16.7864586937421
983b,1250,1.0,15.3652296900363
983b,1250,1.0,7.30141759475544
983b,1250,1.0,14.1615608916735
983b,1250,1.0,16.5580607802319
983b,1250,1.0,15.8531359918877
983b,1250,1.0,9.69166535078353
983b,1250,1.0,12.1342122939881
983b,1250,1.0,19.4487041751014
983b,2500,1.0,129.988300549908
983b,2500,1.0,125.668857348231
983b,2500,1.0,126.494387253255
983b,2500,1.0,120.838964779281
983b,2500,1.0,125.183103890581
983b,2500,1.0,132.53154372837
983b,2500,1.0,132.483643838641
983b,2500,1.0,129.244037032819
983b,2500,1.0,126.905125874257
983b,2500,1.0,127.871636812519
983b,2500,1.0,125.729442992737
983b,2500,1.0,127.633189213845
983b,2500,1.0,126.755006060813
983b,2500,1.0,125.840459887421
983b,2500,1.0,131.280587899458
983b,2500,1.0,134.007817738476
983b,2500,1.0,126.574634810119
983b,2500,1.0,126.223156178594
983b,2500,1.0,125.911037651687
983b,2500,1.0,126.504414691225
983b,2500,1.0,124.328465528727
983b,2500,1.0,124.246767241604
983b,2500,1.0,128.218596633804
983b,5000,1.0,171.744155930173
983b,5000,1.0,178.314418448645
983b,5000,1.0,176.741444015759
983b,5000,1.0,180.641135050257
983b,5000,1.0,168.964946698852
983b,5000,1.0,175.956892634581
983b,5000,1.0,172.091159537049
983b,5000,1.0,178.584674841907
983b,5000,1.0,175.154344047966
983b,5000,1.0,174.588181753447
983b,5000,1.0,175.704235085802
983b,5000,1.0,174.027475675447
983b,5000,1.0,175.480148375609
983b,5000,1.0,171.433468193033
983b,5000,1.0,169.961135829106
983b,5000,1.0,176.999796565414
983b,5000,1.0,174.689932471128
983b,5000,1.0,173.976409461233
983b,5000,1.0,161.58451725663
983b,5000,1.0,171.144462106411
983b,5000,1.0,174.566365753539
983b,5000,1.0,174.326255212898
983b,10000,1.0,236.925368246259
983b,10000,1.0,240.804547872309
983b,10000,1.0,230.715119162248
983b,10000,1.0,239.996726129474
983b,10000,1.0,213.632976537124
983b,10000,1.0,233.911463624657
983b,10000,1.0,235.150807270923
983b,10000,1.0,239.980809890286
983b,10000,1.0,242.673805147652
983b,10000,1.0,238.654861388835
983b,10000,1.0,235.086026603154
983b,10000,1.0,226.282298097751
983b,10000,1.0,236.962916173107
983b,10000,1.0,234.106726907521
983b,10000,1.0,236.072050829708
983b,10000,1.0,237.96243227562
983b,10000,1.0,237.070019336291
983b,10000,1.0,224.35564710264
983b,10000,1.0,234.572497329285
