CellLine,InitialCondition,Day,R,ϕ,η
983b,5000,21,340.356132577442,0.9091630954435281,0.829272667301226
983b,5000,21,294.043785331719,0.9022395415235319,0.8110530349654603
983b,5000,21,315.211088916467,0.9069871512266129,0.8536376793850006
983b,5000,21,324.379321840114,0.8547671391182923,0.801570102130261
983b,5000,21,347.89439962383,0.9113445417862589,0.8082303865397662
983b,5000,21,350.117209575616,0.9106981115701502,0.8082950092736757
983b,5000,21,329.408478618646,0.9235728489993339,0.7974864205622518
983b,5000,21,309.553159652174,0.8599074404665331,0.8439662689253518
983b,5000,21,319.426488332867,0.8968941393762608,0.8524762917709904
983b,5000,21,322.741647984196,0.9045841827444069,0.8287641069674861
983b,10000,7,282.684158909343,0.8071805460951088,0.4301492418664572
983b,10000,7,296.842692090533,0.8157623813549285,0.4051733499319176
983b,10000,7,279.456056341839,0.7595374792095917,0.41200744196978073
983b,10000,7,279.748023072945,0.8082595578312936,0.4482017155256319
983b,10000,7,270.532405327628,0.8169846209527245,0.4080013312189176
983b,10000,7,294.800432476437,0.7969404718110626,0.426916865156948
983b,10000,7,291.10481585359,0.8296249213756579,0.41436578057346973
983b,10000,7,278.117195453389,0.8432220197587151,0.4200662193037313
983b,10000,7,288.436953555529,0.844766832959224,0.4161083397817677
983b,2500,7,203.722310530958,0.791947576877128,0.0
983b,2500,7,224.990583376397,0.8013761317305597,0.0
983b,2500,7,214.962921310353,0.5875690777993111,0.0
983b,2500,7,226.280850034031,0.707162689611399,0.0
983b,2500,7,215.312657314599,0.7682707766117055,0.0
983b,2500,7,221.125762321989,0.4491235187019203,0.0
983b,2500,7,221.501292081815,0.5220219666755251,0.0
983b,2500,7,223.014728896017,0.6334244681986201,0.0
983b,2500,7,219.681030947206,0.6679882260917638,0.0
983b,2500,7,219.193598544797,0.39291122254838917,0.0
983b,2500,7,220.864292856428,0.5117688128956167,0.0
983b,5000,7,254.604001124201,0.7182163533930159,0.2939024272198414
983b,5000,7,249.253469394661,0.666079550359082,0.294165276418135
983b,5000,7,242.076996042684,0.7911339061695983,0.33419657780689893
983b,5000,7,266.700611412284,0.7824451863087797,0.21184323539386465
983b,5000,7,216.058234357023,0.0,0.0
983b,5000,7,262.051211816084,0.8547990697253072,0.3101811989767053
983b,5000,7,247.538965291723,0.8456790162102802,0.3173412229795441
983b,5000,7,243.612998951753,0.7472743162017423,0.3038532782719411
983b,5000,7,249.169603303429,0.7475085271944799,0.28889913174001014
793b,2500,21,268.996548389522,0.7178077328562562,0.24433307654668637
793b,2500,21,312.420120003681,0.8458589722602097,0.4726041996125613
793b,2500,21,319.727329305999,0.8777917972954249,0.5099422351323498
793b,2500,21,323.596096407419,0.8067829862422637,0.45964043057420806
793b,5000,21,332.42229372147,0.8695634120927417,0.6563117113362665
793b,5000,21,331.464504142909,0.8490038020756114,0.6197582581541128
793b,5000,21,342.670189546532,0.8676675865568185,0.6440969760097701
793b,10000,24,364.83428865053,0.9104259893372291,0.8033803062229145
793b,10000,24,348.179824241515,0.8639183893935961,0.7504700761482411
793b,10000,24,373.382515499708,0.9186465631119175,0.8293062786769461
793b,10000,24,373.149978746609,0.8877125865824056,0.787176933219577
793b,10000,24,379.37779772478,0.8844382232260706,0.8073364359538513
793b,10000,24,355.980766658889,0.8707456257467412,0.7874720506048755
793b,10000,24,356.162382640519,0.8809727347729167,0.802158191742466
