CellLine,InitialCondition,Day,R,ϕ,η
983b,2500,5,180.27311728423,0.15681013110139463,0.0
983b,2500,5,178.328520438679,0.2673374750019193,0.0
983b,2500,5,191.854905215486,0.2797188770780507,0.0
983b,2500,5,181.737528456153,0.1985630417981721,0.0
983b,2500,5,190.235782362091,0.19214979696473974,0.0
983b,2500,5,175.980054257777,0.34211438005734945,0.0
983b,2500,5,186.88443906104,0.0,0.0
983b,5000,5,210.018349176002,0.2471502608499444,0.0
983b,5000,5,226.854957116959,0.35563983541504324,0.0
983b,5000,5,215.214422915681,0.15646037301534516,0.0
983b,5000,5,208.303165220144,0.36772524566608916,0.0
983b,5000,5,217.421878040323,0.38124867063680185,0.0
983b,5000,5,219.675434420282,0.6757689492178788,0.0
983b,5000,5,219.313596174906,0.41039003833488563,0.0
983b,5000,5,213.629623609354,0.34901122733954365,0.0
983b,5000,5,209.868434766293,0.4459536956046925,0.0
983b,5000,5,222.650586941942,0.423617515620804,0.0
983b,10000,5,267.794577021353,0.5723053312864792,0.3058469357780667
983b,10000,5,259.585917287386,0.5341445526750257,0.3187631361141889
983b,10000,5,256.99175890924,0.5717732397037804,0.18178467140686436
983b,10000,5,257.621511623453,0.6033046368668605,0.3197602615646405
983b,10000,5,264.370786205726,0.5885688347242123,0.3197878231577434
983b,10000,5,258.788072506408,0.61930934996502,0.35162828626408915
983b,10000,5,265.401171442122,0.6113041916605257,0.27416193690898705
983b,10000,5,262.15534428018,0.5986300221873442,0.3496791271293024
983b,10000,5,253.777899635396,0.5846452216803946,0.31644380530030264
983b,2500,7,221.501292081815,0.5220219666755251,0.0
983b,2500,7,234.555407385813,0.42733839758433406,0.0
983b,2500,7,214.962921310353,0.5875690777993111,0.0
983b,2500,7,219.193598544797,0.39291122254838917,0.0
983b,2500,7,221.125762321989,0.4491235187019203,0.0
983b,2500,7,235.890302058698,0.0,0.0
983b,2500,7,231.969647520736,0.3770375313712189,0.0
983b,2500,7,226.280850034031,0.707162689611399,0.0
983b,2500,7,223.014728896017,0.6334244681986201,0.0
983b,2500,7,219.681030947206,0.6679882260917638,0.0
983b,5000,7,264.120475119912,0.6973101267306715,0.18458190976869293
983b,5000,7,267.999255776702,0.7613427571626106,0.15737055401221983
983b,5000,7,262.49466040945,0.5963260830231986,0.0
983b,5000,7,266.700611412284,0.7824451863087797,0.21184323539386465
983b,5000,7,269.384756472802,0.771901086965584,0.23774908328465647
983b,5000,7,274.30081848654,0.7386879438405823,0.26585748160280626
983b,5000,7,247.538965291723,0.8456790162102802,0.3173412229795441
983b,5000,7,254.604001124201,0.7182163533930159,0.2939024272198414
983b,5000,7,262.051211816084,0.8547990697253072,0.3101811989767053
983b,5000,7,249.727522165518,0.48817769585702214,0.0
983b,10000,7,272.751924505264,0.7378092814941043,0.4106243267438594
983b,10000,7,270.532405327628,0.8169846209527245,0.4080013312189176
983b,10000,7,305.628120480353,0.8069922798316295,0.3578549212680244
983b,10000,7,282.684158909343,0.8071805460951088,0.4301492418664572
983b,10000,7,305.066041597919,0.7533279437798877,0.31786612032892086
983b,10000,7,284.935014871198,0.8369732845694652,0.40617820967248464
983b,10000,7,279.456056341839,0.7595374792095917,0.41200744196978073
983b,10000,7,294.279506551882,0.783514408814233,0.3796146183412294
983b,10000,7,290.302118890978,0.7592932567738531,0.4289448657423972
983b,10000,7,278.117195453389,0.8432220197587151,0.4200662193037313
983b,2500,10,292.221858250424,0.8630907168184193,0.3760069370933191
983b,2500,10,292.820350331506,0.849066795930318,0.3467020978134278
983b,2500,10,252.936462842957,0.7344082460508261,0.28969627530595843
983b,2500,10,280.352094632404,0.8008141066335676,0.3380376404944129
983b,2500,10,263.985450620354,0.7081469094900428,0.3459417163314
983b,2500,10,287.47716802517,0.7995041046878772,0.35416403046483225
983b,2500,10,293.893226124484,0.8876136180174371,0.3965564958015843
983b,2500,10,261.535568626362,0.7901186877056839,0.3427085257977515
983b,2500,10,291.816002548899,0.7437044184736326,0.38289473524927004
983b,2500,10,257.616739325816,0.7998417179746025,0.3288034564397652
983b,5000,10,322.409301749326,0.8286493204285336,0.3769357868359456
983b,5000,10,306.6393509756,0.7801436963982796,0.4150529767254213
983b,5000,10,287.806280591489,0.844049514931429,0.45538826309070757
983b,5000,10,322.996012171602,0.8432226130765271,0.45960808129410696
983b,5000,10,292.097298650333,0.8781989826474745,0.5049553860497739
983b,5000,10,312.546807704655,0.8143260392891106,0.41479007429422915
983b,5000,10,310.397967167755,0.8179063540468618,0.42871578026873736
983b,5000,10,286.912096743631,0.8857419840651988,0.4174549419283025
983b,5000,10,321.410966149794,0.8266164466076924,0.45138175584843837
983b,5000,10,281.64803273576,0.840017470545435,0.39548143710342903
983b,10000,10,317.671193597921,0.8975891563673185,0.5526657327019279
983b,10000,10,302.713083260425,0.8448329750668998,0.4996564163827204
983b,10000,10,289.771409342952,0.8917184737863783,0.47446263470898925
983b,10000,10,298.159319695262,0.8548477736549459,0.5155461601545124
983b,10000,10,309.506290697382,0.8551976326625401,0.5400682599837539
983b,10000,10,335.775377252385,0.8617644427821567,0.5371703290239036
983b,10000,10,334.244316758043,0.8702864104235314,0.532346327023699
983b,10000,10,322.67840661684,0.8863384838261255,0.5171094744005157
983b,10000,10,308.481343026124,0.8313136230523113,0.5171361350516628
983b,10000,10,322.332264402248,0.8446468075125875,0.5295832007021929
983b,2500,12,272.016206253356,0.8337630862037319,0.45579401843144907
983b,2500,12,283.511894591874,0.8812068224574366,0.4644580757761025
983b,2500,12,285.397185680704,0.8059344976543099,0.4569917944880741
983b,2500,12,282.678070037066,0.7853843276553535,0.44040905099145045
983b,2500,12,275.722432482016,0.8299816312711022,0.47421531619919344
983b,2500,12,271.151566913346,0.7883651753876089,0.4562589695202376
983b,2500,12,266.673873260991,0.8287529630639479,0.4636590384012616
983b,2500,12,278.696570105508,0.8441519944056226,0.44370005295476406
983b,2500,12,280.059879675099,0.8528661731983641,0.39876322205820613
983b,2500,12,303.649004673785,0.8340207926910616,0.5228778519564244
983b,5000,12,302.169994715934,0.8727064178054251,0.5096817764858494
983b,5000,12,319.172360973964,0.8420590748006432,0.5463900797390718
983b,5000,12,309.345770330934,0.8716147483962494,0.553345221181813
983b,5000,12,293.089776417945,0.8091313050341019,0.4992480477223394
983b,5000,12,311.826915961118,0.8721298465091228,0.5414188802061861
983b,5000,12,315.858662723823,0.8327994748755143,0.541179977775786
983b,5000,12,303.554246345943,0.8253255730382022,0.5445421750420465
983b,5000,12,293.008387178839,0.8821174203635306,0.5196009113870147
983b,5000,12,310.617319922441,0.7930400572730598,0.5147151146856969
983b,5000,12,307.579313852921,0.8041554208857277,0.5386769342622472
983b,10000,12,329.905239891914,0.8605623412084201,0.6207724961127802
983b,10000,12,333.198793361363,0.9120503979121699,0.6261919051230039
983b,10000,12,326.124146548744,0.8364762781862175,0.6055119987635197
983b,10000,12,333.921946340562,0.8754941153279515,0.5840666226132711
983b,10000,12,320.411822176357,0.8193820388109718,0.47453625788077886
983b,10000,12,330.71887813214,0.8885593236897676,0.6157027488651466
983b,10000,12,318.497556834253,0.8822351395772805,0.610873873121085
983b,10000,12,334.815429345368,0.8914040513120397,0.6277449231713302
983b,10000,12,319.562709740738,0.8874285054927856,0.6162786550818856
983b,10000,12,346.058270680908,0.8575279182946948,0.6101904159174392
983b,2500,14,334.097890217239,0.9086705870679828,0.5582073521523455
983b,2500,14,305.016870875557,0.868133807034235,0.5474575826419655
983b,2500,14,322.891701399836,0.8742196388930061,0.5092699355810961
